epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.8414,1.55757,2.36027,1.43479,0.50729,0.58522,0.52308,0.27736,1.56675,2.2114,1.60547,0.000331418,0.000331418,0.000331418
2,115.018,1.52144,1.72278,1.42158,0.55704,0.57937,0.54554,0.29138,1.54813,2.13523,1.60482,0.000651589,0.000651589,0.000651589
3,171.318,1.51733,1.62242,1.43405,0.53668,0.62385,0.57132,0.30899,1.5256,1.79632,1.6022,0.00095856,0.00095856,0.00095856
4,226.374,1.49825,1.53014,1.41906,0.57383,0.57826,0.58665,0.32124,1.55331,1.77393,1.60638,0.0009406,0.0009406,0.0009406
5,281.546,1.48292,1.43652,1.39616,0.65075,0.6793,0.66635,0.37886,1.45375,1.40657,1.52563,0.0009208,0.0009208,0.0009208
6,336.872,1.45236,1.37924,1.38641,0.65545,0.64804,0.66529,0.3753,1.4982,1.46815,1.59009,0.000901,0.000901,0.000901
7,392.188,1.44334,1.32513,1.37969,0.69751,0.65657,0.68762,0.40586,1.44972,1.39382,1.60289,0.0008812,0.0008812,0.0008812
8,448.83,1.42335,1.28262,1.36692,0.66411,0.71355,0.71913,0.43649,1.39039,1.29237,1.47859,0.0008614,0.0008614,0.0008614
9,503.622,1.41137,1.26739,1.36382,0.69501,0.68761,0.7135,0.42723,1.362,1.24796,1.47307,0.0008416,0.0008416,0.0008416
10,559.599,1.39225,1.22858,1.36053,0.69197,0.68681,0.71432,0.42734,1.37853,1.20287,1.47251,0.0008218,0.0008218,0.0008218
11,615.016,1.38475,1.20145,1.349,0.73697,0.7112,0.74892,0.43786,1.43942,1.19568,1.49467,0.000802,0.000802,0.000802
12,668.76,1.37346,1.17242,1.32964,0.69547,0.7023,0.7223,0.43727,1.37482,1.20225,1.48945,0.0007822,0.0007822,0.0007822
13,722.518,1.37302,1.15938,1.32669,0.69379,0.73442,0.75178,0.45494,1.37999,1.12792,1.46471,0.0007624,0.0007624,0.0007624
14,776.592,1.35474,1.13696,1.32328,0.71841,0.72161,0.7502,0.46876,1.32749,1.08032,1.45287,0.0007426,0.0007426,0.0007426
15,830.549,1.34679,1.11247,1.3207,0.68849,0.73762,0.76091,0.47943,1.28261,1.05848,1.37507,0.0007228,0.0007228,0.0007228
16,883.309,1.34539,1.11393,1.32324,0.72834,0.72657,0.76437,0.47323,1.31776,1.0458,1.4176,0.000703,0.000703,0.000703
17,936.91,1.33181,1.0707,1.30084,0.71938,0.76878,0.78634,0.49527,1.28705,1.02156,1.37904,0.0006832,0.0006832,0.0006832
18,991.306,1.31164,1.05011,1.29613,0.74635,0.75391,0.79418,0.5058,1.27893,0.94901,1.37389,0.0006634,0.0006634,0.0006634
19,1045.67,1.32978,1.04287,1.29473,0.75908,0.7585,0.79038,0.49428,1.27847,0.91946,1.37046,0.0006436,0.0006436,0.0006436
20,1100.51,1.29482,1.04098,1.29275,0.75242,0.7554,0.80002,0.50961,1.28263,0.945,1.37349,0.0006238,0.0006238,0.0006238
21,1154.98,1.31582,1.02912,1.28205,0.73536,0.76714,0.79446,0.49816,1.26919,0.97058,1.37433,0.000604,0.000604,0.000604
22,1209.41,1.28496,0.9979,1.27777,0.76758,0.75203,0.80134,0.49952,1.2857,0.96306,1.37029,0.0005842,0.0005842,0.0005842
23,1264.41,1.28625,0.99524,1.27263,0.78074,0.77318,0.81868,0.52547,1.25472,0.89874,1.35326,0.0005644,0.0005644,0.0005644
24,1319.27,1.27567,0.9824,1.27422,0.74681,0.76304,0.79221,0.50423,1.24422,0.89122,1.33386,0.0005446,0.0005446,0.0005446
25,1375.92,1.28815,0.98743,1.26584,0.76698,0.77037,0.81431,0.5308,1.20453,0.86555,1.31053,0.0005248,0.0005248,0.0005248
26,1430.9,1.26719,0.97303,1.26585,0.75526,0.77175,0.79416,0.50635,1.24535,0.88737,1.33941,0.000505,0.000505,0.000505
27,1485.76,1.25671,0.9492,1.25405,0.76641,0.77694,0.82119,0.52964,1.23062,0.83895,1.33156,0.0004852,0.0004852,0.0004852
28,1541.08,1.26866,0.94066,1.25557,0.77381,0.76948,0.81925,0.53518,1.19932,0.83695,1.31093,0.0004654,0.0004654,0.0004654
29,1596.51,1.23723,0.92109,1.24183,0.76422,0.78352,0.81786,0.53198,1.22408,0.82627,1.32254,0.0004456,0.0004456,0.0004456
30,1652.1,1.24414,0.92232,1.24942,0.79112,0.78319,0.82982,0.54204,1.18356,0.81454,1.29221,0.0004258,0.0004258,0.0004258
31,1706.92,1.22138,0.91067,1.23858,0.79705,0.78741,0.8291,0.5478,1.19687,0.7832,1.28856,0.000406,0.000406,0.000406
32,1761.52,1.21332,0.88889,1.22907,0.80509,0.75997,0.82858,0.53882,1.22917,0.80242,1.31222,0.0003862,0.0003862,0.0003862
33,1816.33,1.23502,0.88739,1.23861,0.80364,0.77627,0.83024,0.54671,1.2181,0.79166,1.30547,0.0003664,0.0003664,0.0003664
34,1870.79,1.20097,0.87139,1.21687,0.79713,0.76428,0.82289,0.53871,1.19115,0.77377,1.27705,0.0003466,0.0003466,0.0003466
35,1926.19,1.21899,0.87681,1.23263,0.79543,0.7926,0.84172,0.55859,1.16069,0.75379,1.26531,0.0003268,0.0003268,0.0003268
36,1982.02,1.18479,0.85821,1.2149,0.80601,0.78962,0.83696,0.55768,1.16156,0.75212,1.27269,0.000307,0.000307,0.000307
37,2036.55,1.19649,0.85683,1.21644,0.80234,0.78397,0.83942,0.55603,1.1737,0.73779,1.27251,0.0002872,0.0002872,0.0002872
38,2091.48,1.19503,0.84663,1.21348,0.81533,0.80025,0.84669,0.56147,1.17547,0.73504,1.27822,0.0002674,0.0002674,0.0002674
39,2145.98,1.17887,0.83291,1.20415,0.79357,0.7961,0.83898,0.56014,1.1712,0.72465,1.27983,0.0002476,0.0002476,0.0002476
40,2200.59,1.17438,0.82426,1.20315,0.80817,0.79983,0.85105,0.5706,1.16274,0.72071,1.25939,0.0002278,0.0002278,0.0002278
41,2255.9,1.16326,0.7371,1.19643,0.83003,0.79111,0.85049,0.57217,1.14497,0.71176,1.24599,0.000208,0.000208,0.000208
42,2307.71,1.15041,0.71445,1.18855,0.82751,0.80316,0.85559,0.57019,1.15289,0.69964,1.25587,0.0001882,0.0001882,0.0001882
43,2358.19,1.13191,0.69689,1.17276,0.81584,0.80458,0.85523,0.57822,1.13857,0.68861,1.24392,0.0001684,0.0001684,0.0001684
44,2408.89,1.13565,0.69425,1.17156,0.83049,0.80504,0.85621,0.57311,1.14433,0.68547,1.24262,0.0001486,0.0001486,0.0001486
45,2460.74,1.12241,0.68009,1.16885,0.82666,0.80776,0.85856,0.58027,1.13125,0.676,1.23817,0.0001288,0.0001288,0.0001288
46,2512.49,1.10308,0.66865,1.15834,0.82245,0.81571,0.86195,0.58444,1.10956,0.66721,1.22504,0.000109,0.000109,0.000109
47,2564.49,1.10542,0.66552,1.15635,0.83163,0.81052,0.86048,0.58271,1.11547,0.66534,1.23061,8.92e-05,8.92e-05,8.92e-05
