31,2235.65,1.19036,0.84103,1.2426,0.81071,0.80249,0.84583,0.55216,1.18999,0.74243,1.32777,0.000406,0.000406,0.000406
32,2307.02,1.17841,0.83366,1.23169,0.79317,0.80313,0.84005,0.55099,1.17284,0.73709,1.3146,0.0003862,0.0003862,0.0003862
33,2378.18,1.16511,0.81596,1.23212,0.78551,0.80874,0.8422,0.55875,1.15256,0.73028,1.29976,0.0003664,0.0003664,0.0003664
34,2448.22,1.1748,0.81715,1.22958,0.79317,0.82263,0.85179,0.57014,1.15275,0.71815,1.29603,0.0003466,0.0003466,0.0003466
35,2519.06,1.1483,0.79262,1.22641,0.8149,0.80056,0.85067,0.56954,1.16006,0.69984,1.29781,0.0003268,0.0003268,0.0003268
36,2589.78,1.16279,0.7952,1.22261,0.77477,0.82358,0.85614,0.572,1.14705,0.69657,1.29078,0.000307,0.000307,0.000307
37,2660.46,1.14186,0.77151,1.21451,0.8084,0.81106,0.85239,0.56681,1.15399,0.69635,1.29786,0.0002872,0.0002872,0.0002872
38,2730.5,1.13677,0.77527,1.2068,0.81473,0.79495,0.85484,0.57484,1.14145,0.68579,1.28357,0.0002674,0.0002674,0.0002674
39,2802.11,1.13453,0.75923,1.20499,0.83373,0.7957,0.85906,0.57778,1.13682,0.67008,1.26891,0.0002476,0.0002476,0.0002476
40,2873.41,1.12354,0.75887,1.20393,0.80617,0.82444,0.86453,0.58017,1.13221,0.66778,1.26759,0.0002278,0.0002278,0.0002278
41,2942.59,1.11775,0.66387,1.20126,0.82998,0.82758,0.87072,0.58424,1.13248,0.65718,1.27712,0.000208,0.000208,0.000208
42,3010.23,1.08943,0.63016,1.18185,0.81612,0.82767,0.86409,0.58658,1.11173,0.64418,1.2665,0.0001882,0.0001882,0.0001882
43,3078.12,1.08116,0.62708,1.17498,0.8247,0.83135,0.86855,0.58865,1.1163,0.63373,1.26095,0.0001684,0.0001684,0.0001684
44,3146.24,1.07127,0.60784,1.16277,0.82793,0.82484,0.86739,0.58969,1.11439,0.63623,1.25724,0.0001486,0.0001486,0.0001486
45,3214.03,1.05329,0.59894,1.15772,0.83227,0.84132,0.87562,0.60102,1.08967,0.6141,1.2357,0.0001288,0.0001288,0.0001288
46,3281.62,1.04691,0.58412,1.15574,0.83916,0.82765,0.87792,0.60079,1.09675,0.61815,1.23947,0.000109,0.000109,0.000109
47,3349.28,1.02715,0.58421,1.14057,0.84045,0.82966,0.87554,0.5981,1.09033,0.61686,1.2381,8.92e-05,8.92e-05,8.92e-05
48,3417.06,1.01656,0.57326,1.13774,0.83762,0.83714,0.87543,0.60316,1.07206,0.6138,1.2305,6.94e-05,6.94e-05,6.94e-05
49,3484.48,1.00453,0.56949,1.12995,0.83515,0.84178,0.87603,0.59973,1.0804,0.60649,1.23088,4.96e-05,4.96e-05,4.96e-05
50,3551.3,1.00138,0.56003,1.12495,0.83909,0.84059,0.87705,0.60405,1.07525,0.60501,1.22753,2.98e-05,2.98e-05,2.98e-05
