class,images,instances,precision,recall,map50,map50_95
all,396,1642,0.865,0.838,0.876,0.601
Bus,103,146,0.956,0.742,0.862,0.643
Car,61,479,0.876,0.826,0.904,0.568
Motorcycle,66,104,0.896,0.99,0.979,0.731
Person,178,613,0.954,0.887,0.938,0.622
Truck,58,186,0.852,0.866,0.906,0.632
mini-truck,49,114,0.657,0.719,0.669,0.408
