39,5353.56,1.13926,0.81303,1.31742,0.82216,0.81126,0.85877,0.57561,1.1125,0.69646,1.39856,0.0002476,0.0002476,0.0002476
40,5493.08,1.12027,0.79679,1.29831,0.80103,0.81383,0.86051,0.57449,1.11709,0.7046,1.40473,0.0002278,0.0002278,0.0002278
41,5627.21,1.10441,0.69313,1.32063,0.80426,0.83052,0.85906,0.57665,1.10807,0.69956,1.40168,0.000208,0.000208,0.000208
42,5765.76,1.089,0.65655,1.31181,0.81549,0.82654,0.86055,0.57974,1.09926,0.6749,1.3886,0.0001882,0.0001882,0.0001882
43,5905.32,1.06236,0.64977,1.29101,0.82044,0.81834,0.86049,0.57765,1.09794,0.6761,1.38445,0.0001684,0.0001684,0.0001684
44,6038.03,1.05769,0.63164,1.28534,0.7979,0.82989,0.8628,0.58132,1.07645,0.66484,1.36948,0.0001486,0.0001486,0.0001486
45,6170.91,1.04789,0.62632,1.27248,0.8187,0.82976,0.86445,0.58657,1.07545,0.65276,1.36127,0.0001288,0.0001288,0.0001288
46,6311.34,1.03655,0.60945,1.26625,0.82214,0.8241,0.8638,0.58389,1.0823,0.65111,1.36524,0.000109,0.000109,0.000109
47,6443.97,1.00783,0.5935,1.24997,0.84228,0.81447,0.86858,0.59038,1.07983,0.63779,1.37428,8.92e-05,8.92e-05,8.92e-05
48,6583.48,1.00311,0.58392,1.2451,0.837,0.8167,0.86911,0.59358,1.06338,0.62966,1.35062,6.94e-05,6.94e-05,6.94e-05
49,6728.84,0.99195,0.57604,1.24128,0.83467,0.82083,0.86843,0.59123,1.05932,0.62492,1.34845,4.96e-05,4.96e-05,4.96e-05
50,6859.45,0.98734,0.56423,1.23193,0.82486,0.84075,0.86942,0.5923,1.05884,0.62768,1.34828,2.98e-05,2.98e-05,2.98e-05
