class,images,instances,precision,recall,map50,map50_95
Bus,103,146,0.926,0.776,0.88,0.682
Car,61,479,0.873,0.797,0.894,0.549
Motorcycle,66,104,0.916,0.962,0.985,0.722
Person,178,613,0.945,0.877,0.929,0.611
Truck,58,186,0.823,0.85,0.902,0.618
mini-truck,49,114,0.63,0.658,0.643,0.381
